City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,minas de marcona,-15.2119,-75.1103,290.54,78,93,2.34,PE,1712121281
83,vila velha,-20.3297,-40.2925,298.12,94,0,1.54,BR,1712121183
84,inverell,-29.7833,151.1167,300.43,45,29,2.24,AU,1712121282
85,puerto baquerizo moreno,-0.9,-89.6,297.55,85,84,3.07,EC,1712121282
86,bikenibeu village,1.3673,173.1241,302.13,89,75,4.12,KI,1712121282
87,ghanzi,-21.5667,21.7833,291.56,90,100,3.82,BW,1712121282
88,fort-shevchenko,44.5086,50.263,286.96,47,0,7.88,KZ,1712121282
89,kabo,7.6994,18.629,299.91,51,94,3.76,CF,1712121080
90,cedeira,43.6797,-8.0209,286.94,76,69,8.98,ES,1712121283
91,stanley,54.868,-1.6985,280.92,98,100,4.12,GB,1712121224
92,el bauga,18.262,33.9081,298.57,17,89,2.31,SD,1712121283
93,kangding,30.0513,101.9603,285.18,87,98,2.1,CN,1712121284
94,mukalla,14.5425,49.1242,300.06,72,35,2.3,YE,1712121284
95,amble,55.3333,-1.5833,281.23,93,100,5.66,GB,1712121284
96,badger,64.8,-147.5333,262.29,63,20,2.57,US,1712121284
97,hawaiian paradise park,19.5933,-154.9731,295.39,86,75,1.54,US,1712121284
98,nantucket,41.2835,-70.0995,279.18,87,100,4.12,US,1712121048
99,melo,-32.3667,-54.1833,285.82,90,2,2.99,UY,1712121285
100,longyearbyen,78.2186,15.6401,258.06,78,75,1.54,SJ,1712121285
101,chodziez,52.995,16.9198,282.05,90,99,5.89,PL,1712121285
102,praya,14.9215,-23.5087,294.45,78,20,4.12,CV,1712121285
103,happy valley-goose bay,53.3168,-60.3315,273.32,80,100,3.6,CA,1712121286
104,copala,16.65,-98.9833,296.9,87,8,1.38,MX,1712121286
105,karachi,24.9056,67.0822,301.05,61,40,4.63,PK,1712121032
106,la'ie,21.6477,-157.9253,299.13,77,70,4.92,US,1712121286
107,nchelenge,-9.3451,28.734,293.34,89,46,1.68,ZM,1712121286
108,winnemucca,40.973,-117.7357,283.18,62,0,5.14,US,1712121287
109,kingscliff,-28.2667,153.5667,302.04,70,40,2.57,AU,1712121287
110,afaahiti,-17.75,-149.2833,301.08,75,85,8.01,PF,1712121287
111,natal,-5.795,-35.2094,298.51,94,20,1.54,BR,1712120947
112,port alfred,-33.5906,26.891,288.25,91,81,0.45,ZA,1712121274
113,tual,-5.6667,132.75,300.94,82,82,8.17,ID,1712121288
114,wailua homesteads,22.0669,-159.378,298.39,75,100,8.23,US,1712121288
115,alice springs,-23.7,133.8833,300.49,28,0,5.14,AU,1712121289
116,susuman,62.7833,148.1667,266.47,55,0,1.34,RU,1712121289
117,saint-pierre,-21.3393,55.4781,299.97,65,0,11.32,RE,1712121289
118,olenegorsk,68.15,33.3,256.21,99,88,0.31,RU,1712121289
119,khandyga,62.6667,135.6,267.05,82,100,1.55,RU,1712121289
120,constitucion,-35.3333,-72.4167,286.22,89,100,2.95,CL,1712121290
121,puerto san jose,13.9256,-90.8244,300.31,75,70,4.27,GT,1712121290
122,saipan,15.1355,145.701,304.54,66,40,8.23,MP,1712121145
123,magadan,59.5667,150.8,272.0,63,0,1.3,RU,1712121290
124,nova vicosa,-17.8919,-39.3719,298.48,85,96,0.96,BR,1712121028
125,svetlyy,54.675,20.1347,277.24,83,100,11.37,RU,1712121028
126,santo antonio do ica,-3.1022,-67.9397,297.25,96,92,1.21,BR,1712121291
127,sitka,57.0531,-135.33,279.09,61,40,4.12,US,1712121291
128,anna regina,7.2644,-58.5077,300.16,80,100,4.49,GY,1712121291
129,san andres,12.5847,-81.7006,300.16,78,20,2.06,CO,1712121292
130,crane,31.3974,-102.3501,286.5,23,33,4.28,US,1712121292
131,fort mcmurray,56.7268,-111.381,280.41,84,100,2.37,CA,1712121118
132,drohobych,49.3499,23.5056,280.82,76,28,5.09,UA,1712121292
133,lukhovitsy,54.9728,39.0361,286.31,77,100,6.61,RU,1712121292
134,argo,37.6333,22.7333,286.92,54,100,1.97,GR,1712121182
135,flin flon,54.7682,-101.865,271.48,92,97,3.81,CA,1712121293
136,boguchany,58.3814,97.4531,272.51,95,100,1.34,RU,1712121293
137,aasiaat,68.7098,-52.8699,260.57,91,96,2.41,GL,1712121293
138,mankera,31.3866,71.4407,301.17,18,68,1.66,PK,1712121293
139,itamarandiba,-17.8572,-42.8589,291.72,99,100,0.65,BR,1712121065
140,vredendal,-31.6683,18.5012,290.64,50,45,2.75,ZA,1712121294
141,kokoda,-8.8785,147.7407,301.39,86,91,2.3,PG,1712121294
142,colonia,50.9333,6.95,283.56,89,0,1.54,DE,1712121065
143,portland,45.5234,-122.6762,287.38,67,75,4.12,US,1712121061
144,tegueste,28.5167,-16.3167,289.25,87,0,6.69,ES,1712121295
145,vorgashor,67.5833,63.95,254.91,92,60,6.79,RU,1712121295
146,thompson,55.7435,-97.8558,271.38,97,100,1.43,CA,1712121295
147,leava,-14.3,-178.1667,302.34,77,100,5.83,WF,1712121295
148,choibalsan,48.0667,114.5,273.95,57,1,3.56,MN,1712121296
149,kitimat,54.0524,-128.6534,276.43,74,99,3.13,CA,1712121296
150,ola,59.5833,151.2833,272.86,61,0,3.33,RU,1712121296
151,looe,50.3578,-4.4542,284.14,92,97,9.51,GB,1712121296
152,tostado,-29.232,-61.7692,294.81,84,100,2.8,AR,1712121296
153,tadine,-21.55,167.8833,299.41,74,9,5.1,NC,1712121297
154,ribeira grande,38.5167,-28.7,289.69,89,100,6.71,PT,1712121297
155,whitehorse,60.7161,-135.0538,272.09,92,99,0.57,CA,1712121037
156,el abiodh sidi cheikh,32.893,0.5484,286.6,31,79,0.55,DZ,1712121297
157,kavaratti,10.5669,72.642,301.53,76,94,3.61,IN,1712121297
158,new norfolk,-42.7826,147.0587,288.66,47,100,3.1,AU,1712121298
159,port isabel,26.0734,-97.2086,295.94,67,0,9.26,US,1712121298
160,christchurch,-43.5333,172.6333,294.56,63,78,2.57,NZ,1712120830
161,port mathurin,-19.6833,63.4167,299.8,82,98,6.4,MU,1712121298
162,alofi,-19.0595,-169.9187,301.09,83,75,5.66,NU,1712121298
163,pokhara,28.2333,83.9833,303.1,16,92,3.0,NP,1712121186
164,yellowknife,62.456,-114.3525,265.21,85,83,5.91,CA,1712121267
165,mount gambier,-37.8333,140.7667,289.83,52,89,4.07,AU,1712121017
166,saskatoon,52.1168,-106.6345,278.14,60,100,5.36,CA,1712121018
167,deogarh,21.5333,84.7333,311.77,12,22,2.11,IN,1712121299
168,queenstown,-31.8976,26.8753,286.38,86,91,0.95,ZA,1712121299
169,udachny,66.4167,112.4,265.78,68,99,5.85,RU,1712121300
170,college,64.8569,-147.8028,262.33,57,20,2.57,US,1712121300
171,mpumalanga,-26.0,30.0,287.07,85,44,1.8,ZA,1712121300
172,nar'yan-mar,67.6713,53.087,260.43,90,6,4.47,RU,1712121300
173,chimore,-16.9833,-65.1333,296.7,99,94,0.55,BO,1712121300
174,lorengau,-2.0226,147.2712,301.17,83,99,5.93,PG,1712121301
175,selfoss,63.9331,-20.9971,269.84,78,100,2.73,IS,1712121301
176,howrah,22.5892,88.3103,307.15,55,20,2.57,IN,1712121301
177,port lincoln,-34.7333,135.8667,291.15,61,100,5.02,AU,1712121301
178,waupaca,44.358,-89.086,275.67,94,100,7.15,US,1712121302
179,mamonovo,54.4643,19.938,277.18,83,100,12.21,RU,1712121302
180,choma,-16.8065,26.9531,291.39,72,38,1.64,ZM,1712121302
181,sokcho,38.2083,128.5911,281.86,83,100,4.24,KR,1712121302
182,hamilton,39.1834,-84.5333,284.5,80,100,5.14,US,1712121107
183,opuwo,-18.0607,13.84,292.04,77,48,2.21,NA,1712121303
184,kozienice,51.5829,21.5478,282.75,64,88,9.55,PL,1712121303
185,bodo,67.28,14.405,264.79,69,0,4.63,NO,1712121303
186,avarua,-21.2078,-159.775,301.18,74,75,1.54,CK,1712121303
187,qaqortoq,60.7167,-46.0333,263.18,73,8,2.25,GL,1712121303
188,malango,-2.9627,119.9001,299.1,84,100,0.5,ID,1712121304
189,tazovsky,67.4667,78.7,265.77,93,100,13.41,RU,1712121304
190,nehe,48.4833,124.8333,279.4,39,53,5.98,CN,1712121304
191,hammerfest,70.6634,23.6821,263.4,79,0,3.6,NO,1712121304
192,callao,-12.0667,-77.15,297.99,68,0,4.63,PE,1712121304
193,mar del plata,-38.0023,-57.5575,289.79,77,0,8.94,AR,1712121166
194,weyburn,49.6668,-103.8511,275.62,65,29,4.15,CA,1712121217
195,petropavlovsk-kamchatsky,53.0452,158.6483,277.48,82,40,5.36,RU,1712121305
196,al jawf,29.5,38.75,294.27,22,23,4.44,SA,1712121305
197,santo antonio,-6.3106,-35.4789,297.88,94,25,0.96,BR,1712121242
198,taradale,-39.5333,176.85,293.19,66,0,2.22,NZ,1712121009
199,marsberg,51.4617,8.8495,282.26,95,100,2.73,DE,1712121306
200,st. john's,47.5649,-52.7093,274.25,92,92,8.94,CA,1712121140
201,atafu village,-8.5421,-172.5159,302.67,71,100,1.57,TK,1712121306
202,diu,20.7141,70.9822,304.18,36,10,3.55,IN,1712121306
203,yemetsk,63.4721,41.7941,265.4,90,100,5.71,RU,1712121307
204,revda,56.801,59.9303,279.67,87,88,5.46,RU,1712121307
205,iskateley,67.6803,53.1512,260.38,90,6,4.47,RU,1712121307
206,amnat charoen,15.9167,104.75,312.11,27,6,5.57,TH,1712121307
207,ust'-ilimsk,58.0006,102.6619,273.39,87,100,4.02,RU,1712121307
208,castillos,-34.1667,-53.8333,286.68,84,18,1.8,UY,1712121308
209,chonchi,-42.6128,-73.8092,280.71,94,100,1.6,CL,1712121308
210,shache,38.4167,77.2406,288.61,17,100,2.53,CN,1712121308
211,newman,37.3138,-121.0208,291.09,81,0,0.89,US,1712121309
212,tyumentsevo,53.3224,81.498,276.15,81,99,3.34,RU,1712121309
213,mkuranga,-7.118,39.2078,296.98,97,100,2.47,TZ,1712121309
214,gizo,-8.103,156.8419,302.44,73,92,2.49,SB,1712121309
215,linghai,41.1653,121.3667,287.38,12,99,5.95,CN,1712121043
216,tura,25.5198,90.2201,304.64,28,63,3.0,IN,1712121310
217,santa ana,33.7456,-117.8678,291.82,70,0,2.06,US,1712121174
218,sebastopol,44.6,33.5333,285.37,51,67,0.45,UA,1712121310
219,dingwall,57.5953,-4.4272,278.64,93,100,6.63,GB,1712121310
220,al wajh,26.2455,36.4525,298.12,41,0,1.54,SA,1712121311
221,adam,22.3756,57.5233,302.39,23,96,0.66,OM,1712121311
222,kupang,-10.1667,123.5833,306.47,75,75,3.6,ID,1712120706
223,hilo,19.7297,-155.09,295.53,89,75,1.54,US,1712121228
224,broome,42.2506,-75.833,279.65,91,100,9.77,US,1712121311
225,pisco,-13.7,-76.2167,296.18,78,75,2.06,PE,1712121026
226,chakwal,32.9334,72.8585,299.25,53,68,1.64,PK,1712121312
227,barro alto,-11.7608,-41.9117,294.06,92,57,1.25,BR,1712121312
228,lang suan,9.9456,99.0785,308.34,44,100,3.03,TH,1712121312
229,vilyuchinsk,52.9306,158.4028,278.3,77,97,3.63,RU,1712121312
230,anadyr,64.75,177.4833,264.43,78,75,4.0,RU,1712121313
231,utrik,11.2278,169.8474,299.91,75,100,7.81,MH,1712121313
232,akcaabat,41.0212,39.5715,291.08,52,0,1.54,TR,1712121313
233,kumbo,6.2,10.6667,292.57,67,100,0.78,CM,1712121313
234,baissa,7.2333,10.6333,298.71,67,100,0.71,NG,1712121314
235,rio grande,-32.035,-52.0986,290.97,70,1,1.9,BR,1712121124
236,geraldton,-28.7667,114.6,308.38,16,100,4.12,AU,1712121098
237,hadibu,12.65,54.0333,300.54,68,45,2.38,YE,1712121314
238,klyuchi,52.2667,79.1667,276.27,72,97,3.16,RU,1712121181
239,mandalgovi,45.7625,106.2708,277.9,33,100,5.91,MN,1712121315
240,hard bargain,26.3167,-77.5667,297.4,78,73,6.8,BS,1712121078
241,sabang,5.8933,95.3214,302.24,72,77,1.6,ID,1712121315
242,lekeitio,43.3666,-2.5007,288.34,73,46,4.83,ES,1712121315
243,tutoia,-2.7619,-42.2744,299.37,88,98,2.26,BR,1712121077
244,severo-zadonsk,54.0348,38.4017,283.72,68,95,7.28,RU,1712121316
245,enewetak,11.3474,162.3373,300.02,79,80,9.14,MH,1712121316
246,elko,41.0002,-115.5012,281.28,71,0,0.89,US,1712121316
247,inhambane,-23.865,35.3833,298.2,85,38,3.42,MZ,1712121316
248,tvoroyri,61.5556,-6.8111,276.42,56,100,11.66,FO,1712121317
249,west island,-12.1568,96.8225,303.14,70,40,6.17,CC,1712121317
250,mungwi,-10.1732,31.3694,290.48,97,53,1.84,ZM,1712121317
251,bahua,25.85,80.6333,308.41,10,30,1.27,IN,1712121317
252,tobelo,1.7284,128.0095,302.73,69,29,3.11,ID,1712121317
253,eureka,40.8021,-124.1637,284.37,95,90,2.68,US,1712121047
254,kalemie,-5.9475,29.1947,294.5,89,75,1.84,CD,1712121318
255,ocean shores,46.9737,-124.1563,280.58,92,100,8.75,US,1712121049
256,mili,6.0815,171.735,300.97,79,77,8.17,MH,1712121318
257,taksimo,56.3444,114.8794,272.16,57,37,0.53,RU,1712121318
258,martapura,-3.4167,114.85,306.2,58,40,3.09,ID,1712121319
259,namtsy,62.7161,129.6658,269.93,81,97,5.57,RU,1712121319
260,mirandopolis,-21.1336,-51.1017,296.41,79,7,1.8,BR,1712121319
261,guiuan,11.0333,125.7247,300.84,79,50,5.42,PH,1712121319
262,kulhudhuffushi,6.6221,73.07,302.06,70,99,0.99,MV,1712121319
263,taungoo,18.9333,96.4333,312.78,24,0,1.57,MM,1712121320
264,pathein,16.7833,94.7333,309.56,33,1,5.99,MM,1712121320
265,kirensk,57.7853,108.1119,270.91,82,93,2.68,RU,1712121320
266,zavoronezhskoye,52.8801,40.5526,287.41,66,98,8.97,RU,1712121320
267,itamaraca,-7.7478,-34.8256,299.18,88,24,1.64,BR,1712121321
268,el dovio,4.5079,-76.2362,289.37,98,96,0.22,CO,1712121321
269,panaba,21.2833,-88.2667,298.42,81,43,5.18,MX,1712121321
270,fortuna,40.5982,-124.1573,284.22,97,100,3.09,US,1712121321
271,bayanhongor,46.7167,100.1167,274.0,58,100,1.13,MN,1712121322
272,bilibino,68.0546,166.4372,261.15,74,15,0.58,RU,1712121322
273,kargasok,59.0556,80.8572,273.69,100,100,1.79,RU,1712121322
274,nishinoomote,30.7333,131.0,295.99,82,40,9.63,JP,1712121322
275,nuevo laredo,27.4763,-99.5164,293.3,28,0,3.6,MX,1712121323
276,alice town,25.7167,-79.3,297.4,77,66,6.52,BS,1712121323
277,dudinka,69.4058,86.1778,265.75,94,100,9.39,RU,1712121323
278,imbituba,-28.24,-48.6703,294.29,90,79,1.74,BR,1712121323
279,kone,-21.0595,164.8658,301.74,60,26,2.18,NC,1712121324
280,baker city,44.7749,-117.8344,286.99,61,0,4.12,US,1712121324
281,santiago del estero,-27.7951,-64.2615,290.88,90,74,1.04,AR,1712121099
282,carauari,-4.8828,-66.8958,296.68,97,94,0.87,BR,1712121218
283,straseni,47.1414,28.6103,283.39,55,44,5.62,MD,1712121324
284,atamyrat,37.8357,65.2106,289.81,23,6,1.56,TM,1712121325
285,viedma,-40.8135,-62.9967,289.54,32,99,6.39,AR,1712121325
286,hasaki,35.7333,140.8333,289.37,86,100,2.96,JP,1712121325
287,swakopmund,-22.6833,14.5333,288.7,87,2,0.67,NA,1712121325
288,al bardiyah,31.7561,25.0865,291.89,47,0,1.46,LY,1712121326
289,ad dawadimi,24.5077,44.3924,290.79,68,3,1.65,SA,1712121326
290,vorkuta,67.5,64.0,254.44,91,55,6.8,RU,1712121209
291,porto novo,6.4965,2.6036,300.89,83,88,3.08,BJ,1712121327
292,santa ines,-3.6667,-45.38,296.9,98,98,1.1,BR,1712121327
293,ust-nera,64.5667,143.2,265.38,77,77,1.78,RU,1712121327
294,huarmey,-10.0681,-78.1522,295.68,82,89,2.19,PE,1712121327
295,yaren,-0.5472,166.916,301.12,75,87,1.93,NR,1712121327
296,dubbo,-32.25,148.6167,297.22,43,40,4.12,AU,1712121051
297,abalak,58.1286,68.5944,277.79,73,100,3.55,RU,1712121293
298,saint-joseph,-21.3667,55.6167,299.36,79,98,6.76,RE,1712121328
299,aur,8.1499,171.1687,300.66,74,99,7.48,MH,1712121329
300,qalat,32.1058,66.9083,285.95,27,0,5.31,AF,1712121329
301,ibiruba,-28.6275,-53.0897,290.03,94,0,2.74,BR,1712121329
302,kerema,-7.9631,145.7785,302.5,76,72,4.61,PG,1712121329
303,al muwayh,22.4333,41.7583,292.59,70,0,1.33,SA,1712121329
304,la ronge,55.1001,-105.2842,274.87,86,100,4.21,CA,1712121330
305,bayji,34.9311,43.487,297.02,28,4,1.53,IQ,1712121330
306,coquimbo,-29.9533,-71.3436,290.15,75,0,1.67,CL,1712121081
307,belyy yar,53.6039,91.3903,282.09,49,0,3.0,RU,1712121330
308,port blair,11.6667,92.75,305.17,66,12,2.57,IN,1712121056
309,conception bay south,47.4999,-52.9981,274.12,92,99,10.76,CA,1712121305
310,nova olimpia,-14.7972,-57.2881,296.78,95,99,0.82,BR,1712121008
311,kiruna,67.8557,20.2251,251.66,65,0,3.6,SE,1712121331
312,el granada,37.5027,-122.4694,287.36,86,100,5.14,US,1712121331
313,silver city,32.7701,-108.2803,280.19,71,0,3.6,US,1712121332
314,rabaul,-4.1967,152.1721,302.58,66,31,1.88,PG,1712121332
315,kudahuvadhoo,2.6708,72.8944,302.02,69,100,2.62,MV,1712121332
316,san mariano,7.5,126.0,306.67,40,68,2.84,PH,1712121332
317,daru,-9.0763,143.2092,302.85,73,91,2.89,PG,1712121332
318,shimoda,34.6667,138.95,287.65,94,100,2.52,JP,1712121333
319,danjiangkou,32.5428,111.5086,286.99,75,100,2.26,CN,1712121333
320,boa viagem,-5.1275,-39.7322,295.67,97,32,0.65,BR,1712121333
321,hankasalmi,62.3833,26.4333,269.32,88,100,5.68,FI,1712121333
322,lumberton,34.6182,-79.0086,295.2,88,0,3.6,US,1712121333
323,veinticinco de mayo,-35.4323,-60.1727,287.03,93,58,0.45,AR,1712121054
324,dhidhdhoo,6.8833,73.1,302.15,70,92,1.14,MV,1712121334
325,lugus,5.7036,120.8203,301.16,77,4,3.24,PH,1712121334
326,al kut,32.5147,45.819,298.05,22,49,4.16,IQ,1712121334
327,puerto leguizamo,-0.1934,-74.7819,295.92,99,96,1.06,CO,1712121335
328,indramayu,-6.3264,108.32,303.94,68,75,3.27,ID,1712121335
329,tsiombe,-25.3,45.4833,296.72,80,0,5.42,MG,1712121335
330,tazacorte,28.629,-17.9293,291.69,83,100,2.68,ES,1712121335
331,champerico,14.3,-91.9167,300.67,73,0,3.97,GT,1712121336
332,greytown,-29.0642,30.5928,289.35,98,100,1.08,ZA,1712121336
333,gunjur,13.2019,-16.7339,295.19,73,0,2.57,GM,1712121336
334,valparaiso,-33.0393,-71.6273,291.48,58,40,1.54,CL,1712121108
335,egersund,58.4513,5.9997,278.75,86,100,3.51,NO,1712121336
336,miles city,46.4083,-105.8406,280.69,57,0,3.09,US,1712121189
337,san luis de la loma,17.2706,-100.8939,297.29,85,56,3.0,MX,1712121337
338,tchintabaraden,15.8969,5.7985,299.53,8,82,4.28,NE,1712121337
339,toliara,-23.35,43.6667,300.38,59,0,5.74,MG,1712121337
340,datong,40.0936,113.2914,285.53,42,99,1.45,CN,1712121337
341,akobo,7.4344,3.9497,296.78,94,91,1.32,NG,1712121338
342,turpan,42.9333,89.1667,291.53,24,10,0.84,CN,1712121338
343,kununurra,-15.7667,128.7333,306.14,66,40,3.6,AU,1712121338
344,quibdo,5.6947,-76.6611,296.45,99,100,0.93,CO,1712121338
345,shagonar,51.5333,92.8,275.8,82,100,0.82,RU,1712121339
346,mana,5.6592,-53.7767,299.07,89,58,3.57,GF,1712121339
347,lahad datu,5.0268,118.327,303.44,62,78,2.29,MY,1712121339
348,ad-damazin,11.7891,34.3592,302.66,46,95,3.07,SD,1712121339
349,nadym,65.5333,72.5167,261.47,70,95,10.85,RU,1712121339
350,carnarvon,-24.8667,113.6333,307.25,34,92,5.42,AU,1712121340
351,bhinga,27.7167,81.9333,307.3,10,72,5.41,IN,1712121340
352,chak azam sahu,30.75,73.0333,303.86,16,33,3.06,PK,1712121340
353,iranshahr,27.2025,60.6848,299.34,19,0,3.09,IR,1712121341
354,ternate,0.8,127.4,302.52,74,31,4.07,ID,1712121341
355,manokwari,-0.8667,134.0833,300.57,81,100,1.43,ID,1712121341
356,ghadamis,30.1337,9.5007,291.32,42,0,7.36,LY,1712121341
357,mount isa,-20.7333,139.5,306.02,40,40,3.6,AU,1712121234
358,fort st. john,56.2499,-120.8529,277.41,44,94,4.42,CA,1712121131
359,tralee,52.2704,-9.7026,281.13,94,100,2.88,IE,1712121342
360,praia da vitoria,38.7333,-27.0667,289.68,89,97,11.04,PT,1712121342
361,pestravka,52.405,49.9583,284.11,63,42,7.2,RU,1712121342
362,abu qurqas,27.9312,30.8384,293.51,41,0,6.36,EG,1712121343
